price;city;region;district;metro;address;area;floor;max_floor;rooms;url
79 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Корпусная улица, 9;157,8;4;9;4;https://spb.cian.ru/sale/flat/313820161/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
96 691 869 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;Ремесленная улица, 17литЗ;109,17;3;8;3;https://spb.cian.ru/sale/flat/327096252/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
83 000 000 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Площадь Александра Невского;Невский проспект, 152;123,4;4;8;2;https://spb.cian.ru/sale/flat/324831269/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 700 000 ₽;Санкт-Петербург;р-н Московский;Гагаринское;м. Московская;проспект Юрия Гагарина, 22К1;45,8;4;5;2;https://spb.cian.ru/sale/flat/326511788/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
9 291 600 ₽;Санкт-Петербург;р-н Фрунзенский;Волковское;м. Обводный канал;Витебский Парк ЖК;23,2;3;12;Студия;https://spb.cian.ru/sale/flat/326019653/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
57 100 000 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;13-я Васильевского острова линия, 50;113,9;5;7;2;https://spb.cian.ru/sale/flat/326354187/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 700 000 ₽;Санкт-Петербург;р-н Василеостровский;Гавань;м. Приморская;улица Шевченко, 30;31,9;2;5;1;https://spb.cian.ru/sale/flat/327397205/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
122 090 258 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Пионерская улица, 53;128,88;7;9;4;https://spb.cian.ru/sale/flat/323513958/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
69 974 533 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;Петровский проспект, 11к3;171,59;1;9;4;https://spb.cian.ru/sale/flat/314244279/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 600 000 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Наличная улица, 45К1;61,1;2;9;3;https://spb.cian.ru/sale/flat/324807014/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
44 900 000 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;улица Челюскина, 10;74;15;19;2;https://spb.cian.ru/sale/flat/326567617/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
50 075 000 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;13-я Васильевского острова линия, 50;80,3;6;7;1;https://spb.cian.ru/sale/flat/326354192/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 690 000 ₽;Санкт-Петербург;р-н Невский;Народный;м. Ломоносовская;Октябрьская набережная, 78К1;36,5;4;6;1;https://spb.cian.ru/sale/flat/322849634/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
20 183 100 ₽;Санкт-Петербург;р-н Адмиралтейский;Коломна;м. Нарвская;Перевозная улица;41,19;5;10;1;https://spb.cian.ru/sale/flat/319672687/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
54 000 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Чкаловская;Петровский проспект, 5;88,4;2;9;2;https://spb.cian.ru/sale/flat/319474834/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
29 900 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Вязовая улица, 15;77,7;6;7;2;https://spb.cian.ru/sale/flat/322055621/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
30 637 489 ₽;Санкт-Петербург;р-н Московский;Московская застава;м. Московские ворота;улица Коли Томчака, 3;53,75;4;11;2;https://spb.cian.ru/sale/flat/327096114/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
36 300 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Чкаловская;Пионерская улица, 50;70,3;4;9;2;https://spb.cian.ru/sale/flat/327041922/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
37 000 000 ₽;Санкт-Петербург;р-н Центральный;Литейный;м. Гостиный двор;улица Пестеля, 7;143,5;2;6;5;https://spb.cian.ru/sale/flat/326239326/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
54 949 738 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;13-я Васильевского острова линия, 50;119,8;4;7;2;https://spb.cian.ru/sale/flat/290200256/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
297 500 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;Морской проспект, 24;350;7;8;5;https://spb.cian.ru/sale/flat/326886695/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 600 000 ₽;Санкт-Петербург;р-н Выборгский;Светлановское;м. Политехническая;Тихорецкий проспект, 8К2;41,6;1;5;2;https://spb.cian.ru/sale/flat/326917070/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
38 276 867 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;11-я Васильевского острова линия, 56;99,9;3;7;2;https://spb.cian.ru/sale/flat/325166617/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
230 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Вязовая улица, 8;140;6;8;1;https://spb.cian.ru/sale/flat/324452527/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
46 400 000 ₽;Санкт-Петербург;р-н Центральный;Литейный;м. Площадь Восстания;улица Жуковского, 49;140,6;3;5;4;https://spb.cian.ru/sale/flat/325995626/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
28 371 368 ₽;Санкт-Петербург;р-н Московский;Звёздное;м. Московская;Алтайская улица, 39;36,76;17;24;1;https://spb.cian.ru/sale/flat/327104321/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
250 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Крестовский остров;набережная Мартынова, 62;195;5;5;4;https://spb.cian.ru/sale/flat/326555243/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 950 000 ₽;Санкт-Петербург;р-н Колпинский;мкр. Металлострой;м. Рыбацкое;Центральная улица, 19к3;60,4;7;19;2;https://spb.cian.ru/sale/flat/325962386/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
10 987 500 ₽;Санкт-Петербург;р-н Приморский;Озеро Долгое;м. Комендантский проспект;Камышовая улица, 25;37,5;4;12;2;https://spb.cian.ru/sale/flat/321378859/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
7 200 000 ₽;Санкт-Петербург;р-н Фрунзенский;Георгиевский;м. Купчино;Малая Балканская улица, 14К1;29,1;1;9;1;https://spb.cian.ru/sale/flat/322692608/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
10 900 000 ₽;Санкт-Петербург;р-н Калининский;Гражданка;м. Академическая;улица Софьи Ковалевской, 7К1;51,4;7;9;2;https://spb.cian.ru/sale/flat/327047061/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
14 572 798 ₽;Санкт-Петербург;р-н Приморский;Комендантский аэродром;м. Пионерская;;46,13;8;23;2;https://spb.cian.ru/sale/flat/324547540/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
60 000 000 ₽;Санкт-Петербург;р-н Московский;Пулковский меридиан;м. Московская;улица Победы, 3;100;7;14;3;https://spb.cian.ru/sale/flat/327011802/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
10 900 000 ₽;Санкт-Петербург;р-н Московский;Гагаринское;м. Московская;улица Типанова, 29;48,3;5;10;2;https://spb.cian.ru/sale/flat/327293702/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
11 780 521 ₽;Санкт-Петербург;р-н Василеостровский;Морской;м. Приморская;Новая Земля ЖК;31,64;6;22;1;https://spb.cian.ru/sale/flat/323694979/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
51 400 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Спортивная;Ремесленная улица, 21;112;4;8;2;https://spb.cian.ru/sale/flat/323436401/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 500 000 ₽;Санкт-Петербург;р-н Кировский;Ульянка;м. Юго-Западная;улица Солдата Корзуна, 22;30,6;4;5;1;https://spb.cian.ru/sale/flat/326626690/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
32 062 283 ₽;Санкт-Петербург;р-н Центральный;Смольнинское;м. Площадь Александра Невского;Кирилловская улица, 11;56,14;8;10;2;https://spb.cian.ru/sale/flat/305677121/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
335 000 000 ₽;Санкт-Петербург;р-н Петроградский;Введенский;м. Спортивная;Мытнинская набережная, 3;355;2;6;Студия;https://spb.cian.ru/sale/flat/326566993/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 390 000 ₽;Санкт-Петербург;р-н Приморский;Коломяги;м. Комендантский проспект;улица Лидии Зверевой, 3к1;35;2;25;1;https://spb.cian.ru/sale/flat/324471146/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
22 724 070 ₽;Санкт-Петербург;р-н Адмиралтейский;Измайловское;м. Балтийская;Ставни Обводный ЖК;49,9;2;11;2;https://spb.cian.ru/sale/flat/325667510/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
165 000 000 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Ждановская улица, 29;195,2;8;9;4;https://spb.cian.ru/sale/flat/326600263/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
5 990 000 ₽;Санкт-Петербург;р-н Невский;№ 54;м. Улица Дыбенко;улица Крыленко, 43К1;34,2;1;10;1;https://spb.cian.ru/sale/flat/326784024/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
29 052 754 ₽;Санкт-Петербург;р-н Адмиралтейский;Измайловское;м. Технологический институт;;65,3;8;11;2;https://spb.cian.ru/sale/flat/326370765/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
95 000 000 ₽;Санкт-Петербург;р-н Выборгский;Сампсониевское;м. Площадь Ленина;Большой Сампсониевский проспект, 4-6;239;14;19;5;https://spb.cian.ru/sale/flat/323009365/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 330 000 ₽;Санкт-Петербург;р-н Красногвардейский;Ржевка;м. Ладожская;улица Лазо, 8К1;42,9;5;5;2;https://spb.cian.ru/sale/flat/325958264/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
18 329 794 ₽;Санкт-Петербург;р-н Петроградский;Чкаловское;м. Чкаловская;Пионерская улица, 53;24,54;2;9;Студия;https://spb.cian.ru/sale/flat/326453423/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
89 000 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Ждановская улица;108;7;10;3;https://spb.cian.ru/sale/flat/320601016/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
6 500 000 ₽;Санкт-Петербург;р-н Невский;Народный;м. Ломоносовская;улица Русановская, 16к3;31,6;5;23;1;https://spb.cian.ru/sale/flat/324012517/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
79 225 440 ₽;Санкт-Петербург;р-н Московский;Звёздное;м. Московская;Алтайская улица, 39;85,12;22;24;3;https://spb.cian.ru/sale/flat/327104310/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
185 000 000 ₽;Санкт-Петербург;р-н Петроградский;Петровский;м. Крестовский остров;Петровский проспект, 11к3;204,9;7;7;4;https://spb.cian.ru/sale/flat/323354284/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
16 850 000 ₽;Санкт-Петербург;р-н Петроградский;Посадский;м. Горьковская;улица Куйбышева, 30;71,2;1;5;3;https://spb.cian.ru/sale/flat/314007160/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
8 286 652 ₽;Санкт-Петербург;р-н Пушкинский;мкр. Шушары;м. Купчино;Пулково Лэйк ЖК;33,9;3;4;1;https://spb.cian.ru/sale/flat/325837483/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
97 087 586 ₽;Санкт-Петербург;р-н Василеостровский;Васильевский;м. Василеостровская;13-я Васильевского острова линия, 50;152,8;5;7;4;https://spb.cian.ru/sale/flat/325180686/?mlSearchSessionGuid=f084dc9e6cfb41422f1ca6bd954ec6fb
